ID,abbpop,Phenotype_group,Lineage,Region,Greenness
PGM40,PGM,mixed,IT,Rome,8
PGM41,PGM,mixed,IT,Rome,7
PGM42,PGM,mixed,IT,Rome,2
PGM44,PGM,mixed,IT,Rome,4
PGM45,PGM,mixed,IT,Rome,9
PGM46,PGM,mixed,IT,Rome,7
PGM48,PGM,mixed,IT,Rome,7
PGM51,PGM,mixed,IT,Rome,3
PGM55,PGM,mixed,IT,Rome,6
PGM56,PGM,mixed,IT,Rome,3
PP01,PP,mixed,IT,Tuscany,8
PP02,PP,mixed,IT,Tuscany,8
PP03,PP,mixed,IT,Tuscany,4
PP05,PP,mixed,IT,Tuscany,8
PP07,PP,mixed,IT,Tuscany,5
PP09,PP,mixed,IT,Tuscany,8
PP10,PP,mixed,IT,Tuscany,3
PP12,PP,mixed,IT,Tuscany,8
PP14,PP,mixed,IT,Tuscany,7
PP15,PP,mixed,IT,Tuscany,8
PP16,PP,mixed,IT,Tuscany,7
PP17,PP,mixed,IT,Tuscany,3
PP21,PP,mixed,IT,Tuscany,2
SX28,SX,mixed,IT,Tuscany,1
SX31,SX,mixed,IT,Tuscany,3
SX32,SX,mixed,IT,Tuscany,5
SX34,SX,mixed,IT,Tuscany,3
SX37,SX,mixed,IT,Tuscany,1
SX38,SX,mixed,IT,Tuscany,2
SX39,SX,mixed,IT,Tuscany,4
SX40,SX,mixed,IT,Tuscany,5
SX41,SX,mixed,IT,Tuscany,2
SX42,SX,mixed,IT,Tuscany,6
SX43,SX,mixed,IT,Tuscany,1
SX44,SX,mixed,IT,Tuscany,7
VO01,VO,mixed,IT,Tuscany,4
VO05,VO,mixed,IT,Tuscany,5
VO06,VO,mixed,IT,Tuscany,8
VO07,VO,mixed,IT,Tuscany,7
VO08,VO,mixed,IT,Tuscany,9
AS18,AS,ancestral,IT,Rome,1
AS24,AS,ancestral,IT,Rome,1
DS16,DS,ancestral,IT,Rome,1
DS20,DS,ancestral,IT,Rome,1
DS26,DS,ancestral,IT,Rome,1
DS28,DS,ancestral,IT,Rome,1
FG01,FG,ancestral,IT,Rome,2
FG08,FG,ancestral,IT,Rome,1
FG16,FG,ancestral,IT,Rome,2
FG27,FG,ancestral,IT,Rome,2
FU06,FU,nigriventris,IT,Rome,8
FU19,FU,nigriventris,IT,Rome,8
LC18,LC,nigriventris,IT,Rome,10
LC19,LC,nigriventris,IT,Rome,10
LC20,LC,nigriventris,IT,Rome,9
LC21,LC,nigriventris,IT,Rome,9
LC23,LC,nigriventris,IT,Rome,9
RO10,RO,nigriventris,IT,Rome,9
RO14,RO,nigriventris,IT,Rome,9
RO15,RO,nigriventris,IT,Rome,9
LE42,LE,nigriventris,SA,NA,9
LE51,LE,nigriventris,SA,NA,7
LE56,LE,nigriventris,SA,NA,9
NL24,NL,ancestral,SA,NA,2
NL36,NL,ancestral,SA,NA,2
NL37,NL,ancestral,SA,NA,2
SD08,SD,ancestral,SA,NA,1
SD12,SD,ancestral,SA,NA,2
SD14,SD,ancestral,SA,NA,2
SD22,SD,ancestral,SA,NA,1
SL19,SL,nigriventris,SA,NA,8
SL20,SL,nigriventris,SA,NA,10
SL24,SL,nigriventris,SA,NA,9
SO08,SO,ancestral,SA,NA,2
SO18,SO,ancestral,SA,NA,2
SO24,SO,ancestral,SA,NA,2
ST33,ST,nigriventris,SA,NA,10
ST34,ST,nigriventris,SA,NA,9
ST37,ST,nigriventris,SA,NA,10
ST38,ST,nigriventris,SA,NA,10
BE05,BE,ancestral,IT,Tuscany,1
BE13,BE,ancestral,IT,Tuscany,1
BE19,BE,ancestral,IT,Tuscany,1
BE20,BE,ancestral,IT,Tuscany,1
BL03,BL,ancestral,IT,Tuscany,3
BL07,BL,ancestral,IT,Tuscany,3
BL12,BL,ancestral,IT,Tuscany,2
BL15,BL,ancestral,IT,Tuscany,1
BL22,BL,ancestral,IT,Tuscany,2
BL23,BL,ancestral,IT,Tuscany,2
CN50,CN,nigriventris,IT,Tuscany,8
CN55,CN,nigriventris,IT,Tuscany,8
CN58,CN,nigriventris,IT,Tuscany,10
CN68,CN,nigriventris,IT,Tuscany,10
PE54,PE,nigriventris,IT,Tuscany,9
PE60,PE,nigriventris,IT,Tuscany,8
PE61,PE,nigriventris,IT,Tuscany,9
PE63,PE,nigriventris,IT,Tuscany,10
PE68,PE,nigriventris,IT,Tuscany,8
PE69,PE,nigriventris,IT,Tuscany,9
