"label","abbpop","Year","date","sex","svl","tot","mass","headlength","headwidth","GreenResolved","reg","reglength","blackness","BlueResolved","relhl"
"AL01","AL",2014,2014-04-10,"M",69,202,9.2,17.5,9,8,1,61,0.67,6.59,0.253623188405797
"AL02","AL",2014,2014-04-10,"F",67,148,6.58,13.6,7.2,1,1,70,0.19,2.41,0.202985074626866
"AL03","AL",2014,2014-04-10,"F",60,182,6.18,12.6,6.6,1,0,NA,0.03,0.69,0.21
"AL04","AL",2014,2014-04-10,"F",65,124,6.72,13.4,7.2,7,1,49,0.08,0.52,0.206153846153846
"AL05","AL",2014,2014-04-10,"M",68,205,7.87,16.9,8.2,2,0,NA,0.34,11.82,0.248529411764706
"AL06","AL",2014,2014-04-10,"F",67,152,6.84,14.5,7.3,3,1,63,0.26,1.27,0.216417910447761
"AL07","AL",2014,2014-04-10,"F",71,145,6.77,14,7.4,2,1,63,0.06,7.07,0.197183098591549
"AL08","AL",2014,2014-04-10,"M",62,200,6,15.8,7.6,2,0,NA,0.09,3.65,0.254838709677419
"AL09","AL",2014,2014-04-10,"F",60,160,4.6,12.4,6,1,0,NA,0.18,0.33,0.206666666666667
"AL10","AL",2014,2014-04-10,"M",59,182,5.57,14.7,7.7,1,0,NA,0.42,12.25,0.249152542372881
"AL11","AL",2014,2014-04-10,"M",61,168,6.72,16,8,9,1,87,0.57,11.49,0.262295081967213
"AL12","AL",2014,2014-04-10,"M",67,191,7.8,16.5,7.9,2,1,10,0.38,10.23,0.246268656716418
"AL13","AL",2014,2014-04-10,"M",62,193,5.97,15.1,7.2,1,0,NA,0.28,16.56,0.243548387096774
"AL14","AL",2014,2014-04-10,"M",62,161,7.94,16.4,8.6,3,1,81,0.39,23.89,0.264516129032258
"AL15","AL",2014,2014-04-10,"F",60,142,6,12,6.1,1,1,45,0.07,1.16,0.2
"AL16","AL",2014,2014-04-10,"F",70,145,8.41,14.2,7.5,1,1,67,0.33,0,0.202857142857143
"AL17","AL",2014,2014-04-10,"M",62,162,6.66,15.7,8.1,3,1,60,0.18,28.54,0.253225806451613
"AL18","AL",2014,2014-04-10,"F",63,175,5.91,12.6,6.3,1,0,NA,0.04,1.75,0.2
"AL19","AL",2014,2014-04-10,"F",65,175,6.93,13.9,6.6,1,1,59,0,0.87,0.213846153846154
"AL20","AL",2014,2014-04-10,"F",61,120,6.1,13.3,7,1,1,66,0.04,0,0.218032786885246
"AL21","AL",2014,2014-04-10,"M",59,184,6.37,14.6,7.2,2,0,NA,0.15,12.27,0.247457627118644
"AL22","AL",2014,2014-04-10,"F",58,169,7.57,12.3,6.6,1,0,NA,0.02,0,0.212068965517241
"AL23","AL",2014,2014-04-10,"F",67,149,7.88,13.8,6.7,1,1,49,0.11,0.82,0.205970149253731
"AL24","AL",2014,2014-04-10,"F",69,195,8.77,13.6,7.2,3,0,NA,0.13,6.49,0.197101449275362
"AL25","AL",2014,2014-04-10,"F",59,177,4.8,12.4,6.8,3,0,NA,0.08,1.19,0.210169491525424
"AL26","AL",2014,2014-04-10,"M",73,194,9.02,17.3,8.7,3,1,88,0.53,21.68,0.236986301369863
"AL27","AL",2014,2014-04-10,"M",66,180,8.23,16.5,8.6,3,1,27,0.12,8.83,0.25
"AL28","AL",2014,2014-04-10,"F",68,154,6.46,13.9,7.1,4,1,65,0.26,0.63,0.204411764705882
"AL29","AL",2014,2014-04-10,"F",65,142,7.01,13.5,7.2,6,1,65,0,NA,0.207692307692308
"AL30","AL",2014,2014-04-10,"M",61,131,8.86,18,8.3,4,1,16,0.54,NA,0.295081967213115
"AR01","AR",2018,2018-04-14,"M",59,191,5.51,15.08,7.44,2,0,NA,0.30545723493053,10.89,0.255593220338983
"AR02","AR",2018,2018-04-14,"M",57,134,4.4,14.12,7.03,1,1,22,0.230890785137026,12.118,0.247719298245614
"AR03","AR",2018,2018-04-14,"M",60,157,4.88,14.63,7.96,2,1,83,0.334678222753537,15.043,0.243833333333333
"AR04","AR",2018,2018-04-14,"F",57,167,4.1,12.67,6.24,1,0,NA,0.0893641767898682,5.438,0.222280701754386
"AR05","AR",2018,2018-04-14,"F",60,147,4.84,13.52,6.63,7,1,35,0.256680381606909,8.724,0.225333333333333
"AR06","AR",2018,2018-04-14,"F",58,155,4,11.67,5.65,2,1,43,0.192635149165917,5.513,0.201206896551724
"AR07","AR",2018,2018-04-14,"F",62,180,4.51,12.59,6.54,3,0,NA,0.0366991078669911,7.76,0.203064516129032
"AR08","AR",2018,2018-04-14,"F",60,167,4.96,13.04,6.7,1,1,65,0.118378688307679,3.268,0.217333333333333
"AR09","AR",2018,2018-04-14,"M",61,196,6.75,15.53,7.84,2,0,NA,0.559738518270198,25.292,0.254590163934426
"AR10","AR",2018,2018-04-14,"F",68,86,3.86,12.83,5.77,1,1,23,0.213824554211929,4.941,0.188676470588235
"AR11","AR",2018,2018-04-14,"M",55,167,3.76,13.37,6.3,4,0,NA,0.321991145886956,10.721,0.243090909090909
"AR12","AR",2018,2018-04-14,"F",54,145,3.83,12.47,5.92,4,1,64,0.149942660550459,9.242,0.230925925925926
"AR13","AR",2018,2018-04-14,"F",58,129,3.89,12.32,5.96,2,1,64,0.01,5.29,0.212413793103448
"AR14","AR",2018,2018-04-14,"M",58,117,4.48,14.65,6.97,1,1,0,0.222880166046029,13.842,0.252586206896552
"AR15","AR",2018,2018-04-14,"M",61,198,6.18,15.77,7.58,3,0,NA,0.344176360764039,15.327,0.258524590163934
"AR16","AR",2018,2018-04-14,"F",65,159,5.4,13.37,6.52,7,1,53,0.33170799665645,3.944,0.205692307692308
"AR17","AR",2018,2018-04-14,"F",60,170,5.01,12.77,6.33,2,0,NA,0.374170569867291,5.727,0.212833333333333
"AR18","AR",2018,2018-04-14,"M",64,210,6.91,16.25,7.24,3,0,NA,0.547707520805823,24.685,0.25390625
"AR19","AR",2018,2018-04-14,"F",57,142,4.39,12.98,6.18,2,1,43,0.189242825157745,5.287,0.227719298245614
"AR20","AR",2018,2018-04-14,"F",57,147,4.2,12.76,6.18,2,1,58,0.0258176492921842,4.011,0.223859649122807
"AR21","AR",2018,2018-04-14,"M",60,156,5.81,15.2,7.5,2,1,88,0.0961232604373757,15.346,0.253333333333333
"AR22","AR",2018,2018-04-14,"M",58,184,4.37,14.68,6.87,7,1,58,0.286162803973056,8.875,0.253103448275862
"AR23","AR",2018,2018-04-14,"F",58,140,4.14,12.66,6.26,2,1,69,0.235510436629202,0.35,0.218275862068966
"AR24","AR",2018,2018-04-14,"M",62,158,6.61,15.02,7.7,2,1,82,0.456046466096717,19.682,0.242258064516129
"AR25","AR",2018,2018-04-14,"F",52,133,2.78,11.78,5.57,1,1,12,0,1.039,0.226538461538462
"AR26","AR",2018,2018-04-14,"M",62,192,6.03,15.22,7.5,3,0,NA,0.348677819751754,19.661,0.245483870967742
"AR27","AR",2018,2018-04-14,"M",60,190,5.73,15.09,7.53,2,0,NA,0.222909912565085,13.005,0.2515
"AS01","AS",2016,2016-04-19,"M",61,118,4.66,16.1,8,1,1,46,0.54801084655102,10.97,0.263934426229508
"AS02","AS",2016,2016-04-19,"F",57,164,4.52,12.5,5.9,1,0,NA,0.0214971209213052,0.78,0.219298245614035
"AS03","AS",2016,2016-04-19,"F",62,144,5.92,13.1,6.5,1,1,72,0.11385374884295,0,0.211290322580645
"AS04","AS",2016,2016-04-19,"F",63,140,4.14,12.6,6.2,1,1,66,0.0124254473161034,0,0.2
"AS05","AS",2016,2016-04-19,"M",63,165,6.31,15.6,8.2,1,1,89,0.437774152619177,3.51,0.247619047619048
"AS06","AS",2016,2016-04-19,"F",63,151,5.17,13.3,6,1,1,69,0.112914460852605,0.56,0.211111111111111
"AS07","AS",2016,2016-04-19,"F",57,167,4.5,12.4,6.9,1,0,NA,0.0412605588044185,0.47,0.217543859649123
"AS08","AS",2016,2016-04-19,"M",59,186,5.23,14.8,7.1,1,0,NA,0.0883561643835616,2.66,0.250847457627119
"AS09","AS",2016,2016-04-19,"F",61,175,5.78,13.1,6.2,1,1,36,0.00711064862989941,0.43,0.214754098360656
"AS10","AS",2016,2016-04-19,"M",65,198,7.17,16,8,1,0,NA,0.0279561522994097,10.3,0.246153846153846
"AS11","AS",2016,2016-04-19,"F",58,130,4.95,12,6.2,1,1,59,0.0456154148643335,0.57,0.206896551724138
"AS12","AS",2016,2016-04-19,"M",65,182,8.52,16.1,8.3,1,1,45,0.24518233026979,13.2,0.247692307692308
