"label","abbpop","Year","date","sex","svl","tot","mass","headlength","headwidth","GreenResolved","reg","reglength","blackness","BlueResolved","relhl"
"AS13","AS",2016,2016-04-19,"F",62,137,5.4,12.2,6.2,1,1,64,0.00296623060541527,0.386,0.196774193548387
"AS14","AS",2016,2016-04-19,"F",62,159,5.54,12.4,6.3,1,1,32,0.0721069827520705,0.34,0.2
"AS15","AS",2016,2016-04-19,"M",66,199,6.6,15.4,7.8,1,1,60,0.360006973500697,6.53,0.233333333333333
"AS16","AS",2016,2016-04-19,"M",66,170,7.22,16.5,7.8,1,1,43,0.0369049976893114,7.93,0.25
"AS17","AS",2016,2016-04-19,"F",58,121,3.85,12.8,5.9,1,1,55,0.0830136315402824,0,0.220689655172414
"AS18","AS",2016,2016-04-19,"M",60,158,5.58,15,7.4,1,1,63,0.222413324884584,16.405,0.25
"AS19","AS",2016,2016-04-19,"F",58,158,4.81,11.8,5.9,1,0,NA,0.0480486500935579,2.47,0.203448275862069
"AS20","AS",2016,2016-04-19,"M",62,164,5.82,15.3,7.1,1,1,80,0.107781649245064,13.998,0.246774193548387
"AS21","AS",2016,2016-04-19,"M",62,145,5.54,15.9,7.8,1,1,70,0.186296163131132,6.744,0.256451612903226
"AS22","AS",2016,2016-04-19,"F",54,143,3.65,11.8,5.8,1,1,53,0.0652034490130407,1.84,0.218518518518519
"AS23","AS",2016,2016-04-19,"M",67,212,8.05,17,7.9,2,0,NA,0.64689870431532,7.905,0.253731343283582
"AS24","AS",2016,2016-04-19,"M",68,203,8.08,16.9,8.4,1,1,32,0.236968030950927,10.78,0.248529411764706
"AS25","AS",2016,2016-04-19,"F",62,152,5.12,13.3,6.4,1,1,65,0.0544855864811133,0.273,0.214516129032258
"AS26","AS",2016,2016-04-19,"M",60,84,5.4,14.7,7.7,2,1,0,NA,6.899,0.245
"AS27","AS",2016,2016-04-19,"F",55,148,3.73,11.3,5.6,1,0,NA,NA,0.73,0.205454545454545
"ASS01","ASS",2017,2017-04-09,"F",62,159,5.14,13.3,6.31,2,1,73,0.02,0,0.214516129032258
"ASS02","ASS",2017,2017-04-09,"F",64,159,6.84,13.84,6.78,4,1,67,0.08,3.762,0.21625
"ASS03","ASS",2017,2017-04-09,"F",68,178,6.29,14.06,6.85,1,1,72,0.13,3.481,0.206764705882353
"ASS04","ASS",2017,2017-04-09,"M",65,208,7.69,16.95,8.29,7,1,54,0.39,14.771,0.260769230769231
"ASS05","ASS",2017,2017-04-09,"M",68,179,8.36,16.7,8.65,8,1,93,0.49,24.836,0.245588235294118
"ASS06","ASS",2017,2017-04-09,"M",67,172,8.13,18.6,7.95,6,1,86,0.3,23.897,0.277611940298507
"ASS07","ASS",2017,2017-04-09,"F",67,191,6.61,13.91,6.76,5,1,55,0.06,3.297,0.207611940298507
"ASS08","ASS",2017,2017-04-09,"M",61,100,6.13,16.26,7.95,6,1,6,0.36,5.088,0.26655737704918
"ASS09","ASS",2017,2017-04-09,"M",71,187,9.6,18.04,8.95,9,1,73,0.46,18.929,0.254084507042253
"ASS10","ASS",2017,2017-04-09,"M",64,167,6.14,16.53,7.98,6,1,94,0.39,8.407,0.25828125
"ASS11","ASS",2017,2017-04-09,"F",64,164,4.43,13.12,6.67,7,1,76,0.19,2.941,0.205
"ASS12","ASS",2017,2017-04-09,"F",57,166,5.02,12.79,6.13,2,1,37,0.14,2.291,0.224385964912281
"ASS13","ASS",2017,2017-04-09,"F",60,156,5.11,12.22,6.17,3,1,0,0.06,0,0.203666666666667
"ASS14","ASS",2017,2017-04-09,"M",69,157,8.59,17.85,8.66,4,1,53,0.31,20.327,0.258695652173913
"ASS15","ASS",2017,2017-04-09,"M",68,122,7.73,17,9.09,3,1,8,0.44,27.862,0.25
"ASS16","ASS",2017,2017-04-09,"M",70,185,10.43,NA,8.59,8,1,101,0.36,13.662,NA
"ASS17","ASS",2017,2017-04-09,"F",66,186,7.42,13.7,7.18,8,1,67,0.21,0,0.207575757575758
"ASS18","ASS",2017,2017-04-09,"F",68,151,8.05,13.74,7.28,3,1,58,0.09,2.243,0.202058823529412
