ID,abbpop
DS01,DS
DS02,DS
DS03,DS
DS04,DS
DS05,DS
DS06,DS
DS07,DS
DS08,DS
DS09,DS
DS10,DS
DS11,DS
DS12,DS
DS13,DS
DS14,DS
FDM05,FDM
FDM06,FDM
FDM07,FDM
FDM09,FDM
FDM10,FDM
FDM11,FDM
FDM12,FDM
FDM17,FDM
FDM18,FDM
FDM19,FDM
FDM21,FDM
FDM23,FDM
FG13,FG
FG14,FG
FG15,FG
FG17,FG
FG18,FG
FG19,FG
FG21,FG
FG22,FG
FG23,FG
FG24,FG
FG25,FG
FG26,FG
FG27,FG
FG28,FG
FO01,FO
FO02,FO
FO03,FO
FO04,FO
FO05,FO
FO06,FO
FO07,FO
FO08,FO
FO09,FO
FO10,FO
FO11,FO
FO12,FO
FO14,FO
FO15,FO
FU01,FU
FU02,FU
FU03,FU
FU05,FU
FU06,FU
FU08,FU
FU10,FU
FU11,FU
FU12,FU
FU13,FU
FU14,FU
FU15,FU
FU21,FU
GC01,GC
GC02,GC
GC03,GC
GC04,GC
GC05,GC
GC06,GC
GC07,GC
GC08,GC
GC09,GC
GC10,GC
GC14,GC
GC15,GC
GC16,GC
GC17,GC
GN01,GN
GN06,GN
GN07,GN
GN09,GN
GN10,GN
GN11,GN
GN12,GN
GN15,GN
GN16,GN
GN17,GN
GN18,GN
GN19,GN
GN20,GN
GN21,GN
LC01,LC
LC02,LC
LC03,LC
LC05,LC
LC06,LC
LC07,LC
LC08,LC
LC09,LC
LC10,LC
LC11,LC
LC12,LC
LC14,LC
LC16,LC
LC17,LC
LE48,LE
LE49,LE
LE50,LE
LE51,LE
LE52,LE
LE53,LE
LE54,LE
LE55,LE
LE56,LE
LE57,LE
LE58,LE
LE59,LE
LE60,LE
LO01,LO
LO02,LO
LO03,LO
LO04,LO
LO05,LO
LO06,LO
LO07,LO
LO08,LO
LO09,LO
LO10,LO
LO11,LO
LO12,LO
LS01,LS
LS02,LS
LS03,LS
LS04,LS
LS05,LS
LS06,LS
LS07,LS
LS12,LS
LS17,LS
LS18,LS
LS19,LS
LS20,LS
LS21,LS
LS23,LS
LV10,LV
LV11,LV
LV13,LV
LV17,LV
LV23,LV
LV31,LV
MA01,MA
MA02,MA
MA04,MA
MA06,MA
MA08,MA
MA11,MA
MA12,MA
MA14,MA
MA18,MA
MA21,MA
MA23,MA
MA24,MA
MA25,MA
MA29,MA
MARe1,MARe
MARe2,MARe
MARe3,MARe
ME03,ME
ME05,ME
ME06,ME
ME07,ME
ME14,ME
ME18,ME
ME19,ME
ME21,ME
ME22,ME
ME23,ME
ME24,ME
ME27,ME
ME28,ME
ME29,ME
MF01,MF
MF02,MF
MF03,MF
MF04,MF
MF05,MF
MF06,MF
MF07,MF
MF08,MF
MF10,MF
MF11,MF
MF12,MF
MF13,MF
MF14,MF
MF18,MF
MG02,MG
MG04,MG
MG05,MG
MG07,MG
MG09,MG
MG11,MG
MG14,MG
MG15,MG
MG17,MG
MG18,MG
MG20,MG
MG21,MG
MG23,MG
MG25,MG
MM01,MM
MM02,MM
MM03,MM
MM04,MM
MM09,MM
MM10,MM
MM11,MM
MM12,MM
MM19,MM
MM27,MM
MM28,MM
MOA01,MOA
MOA02,MOA
MOA03,MOA
MOA05,MOA
MOA06,MOA
MOA08,MOA
MOA10,MOA
MOA11,MOA
