baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Genes
271.7476923,-0.567634336,0.161822022,-3.507769384,0.000451881,0.038490523,CINP
435.0615599,0.92224891,0.239755223,3.846626977,0.000119755,0.016166008,CLMN
355.5756274,1.066929774,0.229637366,4.646150547,3.38E-06,0.001177835,ALX4
3267.290451,1.581325789,0.426101641,3.711146914,0.000206322,0.022739852,LOC114596547
6.8834487,4.114614962,1.011784642,4.06669047,4.77E-05,0.009125225,SHANK2
339.4478287,1.355441103,0.338076856,4.009269134,6.09E-05,0.010633775,DKK3
54868.37684,0.506538942,0.113126377,4.477637808,7.55E-06,0.002119832,CTSD
4939.604777,0.538269402,0.144979881,3.712717909,0.000205045,0.022739852,EPS8L2
23.19914056,-1.897317533,0.491175191,-3.86281223,0.000112089,0.015741296,LOC114600363
2189.596088,0.842515953,0.238292472,3.535638147,0.000406791,0.036514778,LOC114600556
229.5504723,1.829739576,0.295811853,6.185484314,6.19E-10,6.74E-07,LOC114600740
46.6937585,-2.653639991,0.731932314,-3.625526487,0.000288373,0.029366861,LOC114600865
42.9118127,-1.102074238,0.319971439,-3.444289405,0.000572562,0.045115851,PTPRCAP
1352.586193,0.820266875,0.230317153,3.561466723,0.000368789,0.034527361,ALDH3B1
76.42740813,0.826053518,0.204457269,4.04022572,5.34E-05,0.009854885,SLC4A3
199.6069095,3.597480103,0.464117806,7.75122191,9.10E-15,1.98E-11,TFCP2L1
205.9302137,1.046845085,0.252513851,4.145693709,3.39E-05,0.007191455,TMEM163
11.42238914,5.867668921,1.387598732,4.228649669,2.35E-05,0.00538684,LOC114584718
3549.014738,0.831534165,0.174383975,4.768409276,1.86E-06,0.000718565,MLPH
134.0614749,1.760737599,0.390988322,4.503299722,6.69E-06,0.001941847,RDH8
519.7812176,1.148073805,0.304829652,3.76627994,0.000165698,0.019899758,NCKAP1L
165.9805033,-1.563368731,0.367699596,-4.251755365,2.12E-05,0.004991264,RDH5
1052.904968,1.334170957,0.294685556,4.52743926,5.97E-06,0.001762142,TTYH2
1230.060643,0.608724354,0.170273566,3.574978587,0.000350257,0.033698164,ST6GALNAC2
17.37923224,-2.682590479,0.658149299,-4.075960396,4.58E-05,0.008966218,LOC114590694
84.46733343,1.423685742,0.365442805,3.895782662,9.79E-05,0.01444508,LOC114591322
219.8805178,-0.712938907,0.200459835,-3.556517473,0.000375803,0.034995947,LOC114591469
2488.554003,1.43360468,0.301059637,4.761862778,1.92E-06,0.000726141,LOC114591647
420.9815807,1.050414152,0.27825802,3.774964509,0.00016003,0.019352571,WNK2
1062.507554,0.843384541,0.238328334,3.538750624,0.000402025,0.036455288,TMEM40
62.54508167,1.114066218,0.324832399,3.429664719,0.000604327,0.046565306,LOC114591726
273.2487184,1.121208406,0.277620334,4.038639348,5.38E-05,0.009854885,GATA2
520.5422505,3.782314999,0.442689554,8.543944552,1.30E-17,5.65E-14,LOC114592039
2946.811241,0.805243299,0.195801523,4.112548705,3.91E-05,0.00811233,LOC114592040
22235.6385,0.578198941,0.169795635,3.405263867,0.000661002,0.049190941,LOC114592042
4379.069228,4.929390462,0.76736159,6.423817045,1.33E-10,1.65E-07,LOC114590968
43.2935014,-1.08912849,0.282911584,-3.849713311,0.000118256,0.016166008,LOC114592182
55.86352913,3.871491792,0.52750191,7.339294363,2.15E-13,3.74E-10,LOC114592319
296.4312882,-0.588014403,0.146211942,-4.02165784,5.78E-05,0.010482859,SLC39A7
15199.45238,-0.899052257,0.25698816,-3.498418975,0.000468025,0.039372909,RPS18
492.0730701,1.270007489,0.230840695,5.501662032,3.76E-08,2.43E-05,LOC114593516
18.96442404,-3.603408258,0.866740715,-4.157423549,3.22E-05,0.007006021,LOC114593536
222.7450392,1.401119708,0.357869394,3.915170542,9.03E-05,0.013679882,ATP7B
15.12667612,-4.8360815,1.190348489,-4.062744266,4.85E-05,0.009180046,PAK5
2951.896385,0.623650607,0.176967421,3.52409841,0.000424926,0.037602424,CLN8
692.1944828,-0.96206568,0.266651295,-3.607954273,0.000308621,0.031246068,TDRP
508.5501246,-0.487943726,0.142989919,-3.412434456,0.000643854,0.048422374,CASP8AP2
398.6054805,1.00610879,0.253006036,3.976619719,6.99E-05,0.01159305,PRDM1
6.584338655,6.255458138,1.560716098,4.00806921,6.12E-05,0.010633775,LOC114594252
2227.981739,2.77145163,0.290184744,9.550645532,1.29E-21,2.11E-17,AKAP12
34.78085946,-3.37614842,0.850878916,-3.967836499,7.25E-05,0.011915129,CCR6
5554.980961,0.850239096,0.162368992,5.236462243,1.64E-07,8.80E-05,LYST
571.1784948,-0.754456437,0.190522338,-3.9599369,7.50E-05,0.012088149,RASGRP3
41.95031448,3.194920719,0.751398304,4.251966901,2.12E-05,0.004991264,LOC114594545
