baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Genes
11.79743744,4.091412882,1.11704391,3.66271446,0.000249557,0.019405025,LOC114593413
43.16207629,3.45903122,0.66971777,5.164908823,2.41E-07,7.62E-05,LOC114594545
184.665955,-0.982955239,0.224940968,-4.369836449,1.24E-05,0.002138767,DUSP10
179.9670986,-0.98602449,0.229126847,-4.303400066,1.68E-05,0.002652058,TGFB2
194.3023454,1.319693146,0.373334123,3.534884875,0.000407953,0.027243252,ATF3
1753.754788,0.628999799,0.175048464,3.593289442,0.00032653,0.023561319,SLC30A1
820.6381982,-1.937424542,0.425462735,-4.553687977,5.27E-06,0.001043789,LOC114594756
237.4456518,-2.404921328,0.307947628,-7.809514041,5.74E-15,8.15E-12,LOC114593371
1004.651111,-2.08550812,0.343414785,-6.072854788,1.26E-09,7.13E-07,LOC114593421
2451.052408,-0.343797987,0.096809327,-3.551289904,0.000383348,0.026620555,LOC114594765
289.2247441,0.77170608,0.233993653,3.297978684,0.000973835,0.048207677,BCL2L11
736.6979954,-0.484516288,0.136688182,-3.544683105,0.000393085,0.026730605,CFAP36
1642.744535,0.746609387,0.207248488,3.602484126,0.000315191,0.023035973,EPHX2
511.475644,-0.560819683,0.1053449,-5.323652883,1.02E-07,3.46E-05,SLC35F6
312.5535046,-0.955656802,0.282390895,-3.384162939,0.000713956,0.039602476,EMILIN1
234.5635123,-0.845233804,0.220190276,-3.838651817,0.000123712,0.01217738,PREB
17.67621704,-2.993691637,0.750923668,-3.986679025,6.70E-05,0.007632908,GCKR
236.2521763,-0.95788879,0.194971745,-4.912962072,8.97E-07,0.000224659,DCHS1
91.33647974,1.364534478,0.393621341,3.466617116,0.000527052,0.031940106,LOC114595145
4127.804514,-3.44792744,0.496768404,-6.940714049,3.90E-12,3.69E-09,DGAT2
105.419411,-2.297807841,0.490136928,-4.688093693,2.76E-06,0.000634587,MYO7A
14.276986,-2.470025333,0.665192162,-3.713250809,0.000204614,0.017335177,CCDC89
2563.869746,-1.143569722,0.222774446,-5.133307449,2.85E-07,8.36E-05,SYTL2
63.23168323,-1.462166396,0.426604706,-3.42745023,0.000609278,0.035170829,ANGPTL5
890.867428,-2.705639181,0.794023325,-3.407505921,0.000655595,0.037263913,LOC114595296
526.9612935,-0.543704141,0.149514228,-3.636470905,0.000276399,0.020944523,DYNC2H1
65.74310698,-2.669024172,0.440429452,-6.06004925,1.36E-09,7.48E-07,LOC114595830
8075.330015,-1.528054542,0.205100238,-7.450281658,9.31E-14,1.13E-10,SOD1
230.6713545,0.654533863,0.192106633,3.407138277,0.000656479,0.037263913,SLC5A3
53.34804314,1.72158784,0.312888234,5.502245375,3.75E-08,1.54E-05,KCNE1
216.0282614,-0.84110816,0.229270382,-3.668629815,0.000243854,0.019290513,ABCG1
91.24123953,-1.704478105,0.330061378,-5.164124674,2.42E-07,7.62E-05,UBASH3A
357.5206064,-5.973940215,0.437299556,-13.66097938,1.74E-42,2.96E-38,NDP
17.45181021,-2.00976256,0.583885205,-3.44205084,0.000577322,0.03390073,LOC114596152
581.2489102,-1.129449315,0.262906904,-4.296004769,1.74E-05,0.002704217,LOC114596269
10078.36634,0.559881632,0.155750324,3.594738162,0.000324718,0.023530309,PRPS2
957.3686192,0.535117644,0.150636227,3.552383486,0.000381758,0.026620555,SHROOM2
15.54425253,-3.983492178,0.956104735,-4.166376373,3.09E-05,0.004149707,F7
529.6732226,-1.495856021,0.350079173,-4.272907781,1.93E-05,0.002907593,EDNRB
434.6882529,-0.829675745,0.195429652,-4.245393348,2.18E-05,0.003175985,TIGAR
247.8850508,0.690917427,0.15844014,4.360747401,1.30E-05,0.002144901,LOC114597031
25.51731603,-2.783417167,0.637739838,-4.364502579,1.27E-05,0.002144901,RHOBTB1
124.5855208,-0.812062221,0.228315291,-3.556757929,0.00037546,0.026420271,CHST3
29325.27092,0.508834144,0.111546758,4.561622007,5.08E-06,0.001016931,LOC114597222
5685.666339,0.941655631,0.25655692,3.67035756,0.000242211,0.019290513,SGPL1
81.1288413,1.080248017,0.321748157,3.357433422,0.000786697,0.041864566,SLC16A12
24.21503177,2.750436876,0.795773154,3.456307695,0.00054763,0.032721361,LOC114597320
57.56056563,-1.494819599,0.426083597,-3.50827774,0.000451018,0.02919626,RBM20
56.04132108,1.163507594,0.3092193,3.762726302,0.000168071,0.015225173,SORCS3
2422.017609,-1.502260962,0.36920046,-4.068957452,4.72E-05,0.005869905,LOC114597560
2450.86062,-1.000743448,0.184998265,-5.409474785,6.32E-08,2.45E-05,PI4K2A
156.5811887,-0.873178118,0.251502895,-3.471841226,0.000516902,0.031892476,LOC114597613
76.84195999,2.580766593,0.561449238,4.596616074,4.29E-06,0.000914048,AIRE
16.21195184,2.310270043,0.579889061,3.983986247,6.78E-05,0.007632908,CROCC2
327.2254292,-1.642543476,0.256206004,-6.411026489,1.45E-10,1.23E-07,PAX3
361.1162633,-1.400722127,0.393705108,-3.557795155,0.000373981,0.026420271,MOGAT1
37.14646308,1.393559135,0.420220466,3.316257172,0.000912318,0.045993207,GRK7
121.4950488,-0.972247685,0.269975093,-3.601249555,0.000316691,0.023046743,PCOLCE2
84.16098896,-1.786779687,0.512899643,-3.483682841,0.000494565,0.030748346,BCHE
6.451740894,6.28397943,1.303095753,4.822346643,1.42E-06,0.00034029,LOC114597997
935.8618527,0.351897188,0.10459255,3.364457484,0.000766943,0.041329976,TBL1XR1
2542.397216,1.096535687,0.26051886,4.209045314,2.56E-05,0.003579607,LOC114598081
702.065836,-0.568536019,0.149407039,-3.805282679,0.000141642,0.013400152,PDE6D
484.9773202,-0.638301021,0.190182843,-3.35624924,0.000790073,0.041913267,MB21D2
187.7723556,-1.981526733,0.466575614,-4.246957347,2.17E-05,0.003175985,OSTN
624.4942774,0.550385965,0.160239225,3.434776757,0.000593042,0.034467287,IL1RAP
138.2255711,-1.593687699,0.478643826,-3.329590003,0.000869739,0.044610825,PAPPA2
4459.319602,0.80920869,0.095494327,8.473892828,2.37E-17,5.05E-14,LOC114598429
186.1817277,-0.655362934,0.195958995,-3.344388109,0.000824643,0.043208749,PTGFR
1500.649496,0.407963203,0.116801213,3.492799362,0.000477985,0.030004417,WLS
113.1140414,-2.109243805,0.410810964,-5.134341559,2.83E-07,8.36E-05,LOC114598926
57.73628999,-2.038919922,0.365712843,-5.575193653,2.47E-08,1.12E-05,LRP8
7972.976226,0.682768995,0.168479026,4.052545963,5.07E-05,0.006206797,SCP2
209.9363731,-1.704931046,0.3716879,-4.586996363,4.50E-06,0.000922579,TTC39A
17.87813892,2.148971671,0.622114042,3.454305038,0.000551713,0.03285007,LOC114599050
648.5892364,0.614200312,0.123463107,4.974767965,6.53E-07,0.00017055,LRRC41
584.1026792,-1.766467853,0.320585915,-5.510123092,3.59E-08,1.53E-05,LOC114599084
139.4182318,1.542787437,0.270296728,5.707754767,1.14E-08,5.42E-06,LOC114599318
365.3135812,-2.440289988,0.427292798,-5.711048723,1.12E-08,5.42E-06,CAMK1G
1146.183055,-1.017810706,0.27588313,-3.689282143,0.000224888,0.018305838,HSD11B1
836.7272679,1.12102421,0.319726816,3.506193896,0.000454564,0.02919626,LPIN3
